sample_id,model,split,is_visually_confused,is_text_overwritten,trajectory_class,best_config,matched_grid_best_config
357-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
359-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
359-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
359-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
360-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
360-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
360-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
361-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
361-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
361-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
362-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
362-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
362-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
363-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
363-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
363-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
364-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
364-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
364-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
365-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
365-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
365-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
367-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
367-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
367-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
368-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
368-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
368-3,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
371-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
371-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
371-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
372-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
372-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
372-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
376-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
376-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
376-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
377-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
377-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
377-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
378-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
378-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
378-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
379-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
379-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
379-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
380-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
380-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
380-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
381-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
381-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
381-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
382-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
382-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
382-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
383-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
383-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
383-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
384-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
384-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
384-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
387-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
387-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
387-3,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
389-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
389-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
389-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
391-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
391-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
391-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
392-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
392-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
392-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
394-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
394-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
394-3,InternVL3-8B,V1_medium,1,0,oscillating,64f_151k,64f_151k
395-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
395-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
395-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
396-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
396-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
396-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
397-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
397-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
397-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
398-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
398-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
398-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
399-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
399-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
399-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
401-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
401-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
401-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
402-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
402-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
402-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
403-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
403-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
403-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
404-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
404-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
404-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
405-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
405-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
405-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
406-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
406-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
406-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
407-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
407-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
407-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
411-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
411-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
411-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
414-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
414-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
414-3,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
415-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
415-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
415-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
416-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
416-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
416-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
418-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
418-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
418-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
419-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
419-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
419-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
420-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
420-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
420-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
421-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
421-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
421-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
422-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
422-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
422-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
423-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
423-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
423-3,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
424-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
424-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
424-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
425-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
425-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
425-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
428-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
428-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
428-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
430-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
430-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
430-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
431-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
431-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
431-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
432-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
432-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
432-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
433-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
433-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
433-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
434-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
434-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
434-3,InternVL3-8B,V1_medium,1,0,oscillating,64f_151k,64f_151k
435-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
435-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
435-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
436-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
436-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
436-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
437-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
437-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
437-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
438-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
438-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
438-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
439-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
439-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
439-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
440-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
440-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
440-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
441-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
441-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
441-3,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
442-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
442-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
442-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
444-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
444-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
444-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
445-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
445-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
445-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
446-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
446-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
446-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
447-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
447-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
447-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
448-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
448-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
448-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
450-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
450-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
450-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
452-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
452-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
452-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
453-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
453-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
453-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
456-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
456-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
456-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
457-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
457-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
457-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
458-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
458-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
458-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
461-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
461-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
461-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
462-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
462-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
462-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
466-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
